id,line,from,to,begin,end,count
c72cd82b-be2f-4879-a4a2-f4c05ecf54fd,1,香洲,城轨珠海站,6:20,0:25,25
7c9dbdd8-0707-4a03-aa2e-3f516d8295c8,2,城轨珠海站,香洲,6:15,1:15,20
7cb4cfe6-fb21-43da-abe3-ba5ee9cfea5e,3,金鼎工业园,大桥口岸枢纽,6:00,22:25,50
abb37372-e10f-4ad1-b8b3-f9a322cd0110,4,海虹总站,夏湾,6:15,21:50,34
6b3b3940-7c0f-414d-a5c9-90bb05408b21,5,海虹总站,湾仔,6:20,23:10,34
e3750d32-94b0-46a3-bb04-6df3c3752dc9,6,上冲检查站,香洲,6:20,23:15,19
747597cd-09fe-4137-899d-423edc2cb5a0,7,清华科技园,体育中心南,6:25,21:45,29
9306df04-e47a-4d19-b00c-8acca26d900d,8,拱北口岸总站,香洲,6:15,23:50,28
8b365a68-e748-457f-84be-bb5b92ceed33,9,拱北口岸总站,体育中心南,6:15,22:10,34
7e58c98a-89af-4293-8e01-4393ac5c9a09,10,城轨珠海站,下栅检查站,6:10,22:15,49
5a759554-b6f2-4445-b46b-a3d2b04764b8,11,香洲港,夏湾,6:15,21:45,24
4040c9b6-9fd3-498a-87a8-78363ccc9d2b,12,大桥口岸枢纽,海虹总站,6:10,23:00,25
5fbc1d0c-2c66-43a0-b69a-45d8a3b79ab1,13,圆明新园,体育中心南,6:20,23:10,34
ef45668e-5029-4d01-a266-c2ad6692311e,14,海虹总站,长隆,6:20,21:50,42
8781b319-2513-4460-acfc-1bec6318c69a,15,南屏科技园,香洲,6:25,22:30,27
dc89b345-b730-4ffb-9168-27f323e92730,16,南屏科技园,海虹总站,6:20,21:30,34
c38e7f57-9b35-4a77-b4f0-a9abb5e3b90c,17,神前总站,心岸春天花园,6:25,22:00,30
f5482dc1-0a6b-48e2-955d-eafbd83858be,18,华发新城总站,神前总站,6:30,20:55,29
b11d26a9-6a46-4371-98e7-d45c80934020,19,南屏科技园 ,嘉园,8:40,20:30,2
2381c6bd-6aff-4388-8893-e5b10d922869,20,上冲总站,吉大总站,6:20,21:40,24
e88b7002-d973-4b89-9085-a38652ed5805,21,吉大总站,跨境工业区北,6:25,22:05,17
