line,number
1,ิมC06627D
1,ิมC00292D
1,ิมC00539D
1,ิมC08688D
1,ิมC08697D
1,ิมC00566D
1,ิมC02753D
1,ิมC07890D
1,ิมC00921D
1,ิมC07889D
1,ิมC07882D
1,ิมC07765D
1,ิมC07760D
1,ิมC06675D
2,ิมC06109D
2,ิมC07023D
2,ิมC01756D
2,ิมC02732D
2,ิมC07891D
2,ิมC02608D
2,ิมC02638D
2,ิมC06657D
2,ิมC06702D
2,ิมC07729D
2,ิมC02736D
2,ิมC07759D
2,ิมC07856D
2,ิมC01726D
2,ิมC07089D
3,ิมC02659D
3,ิมC02238D
3,ิมC01715D
3,ิมC01253D
3,ิมC01229D
3,ิมC00822D
3,ิมC06736D
3,ิมC07732D
3,ิมC07710D
3,ิมC07591D
3,ิมC00694D
3,ิมC02622D
3,ิมC08652D
4,ิมC01230D
4,ิมC07609D
4,ิมC07600D
4,ิมC06120D
4,ิมC05613D
4,ิมC08079D
4,ิมC08039D
4,ิมC07718D
4,ิมC00628D
4,ิมC00596D
4,ิมC02695D
4,ิมC07739D
4,ิมC01252D
5,ิมC07547D
5,ิมC18633
5,ิมC18645
5,ิมC18725
5,ิมC18717
5,ิมC18706
5,ิมC07803D
5,ิมC20508
5,ิมC18697
5,ิมC17514
5,ิมC18700
5,ิมC18734
5,ิมC18727
5,ิมC18549
5,ิมC18756
5,ิมC07065D
5,ิมC17734
5,ิมC18764
5,ิมC20474
6,ิมC06130D
6,ิมC06129D
6,ิมC05655D
6,ิมC05658D
6,ิมC06156D
6,ิมC05685D
6,ิมC05629D
6,ิมC00205D
6,ิมC00637D
6,ิมC06771D
6,ิมC05671D
7,ิมC03321D
7,ิมC01721D
7,ิมC01713D
7,ิมC00553D
7,ิมC06769D
7,ิมC06721D
7,ิมC06125D
7,ิมC06107D
7,ิมC05625D
7,ิมC03884D
8,ิมC01232D
8,ิมC00985D
8,ิมC02759D
8,ิมC05627D
8,ิมC05602D
8,ิมC05691D
8,ิมC02760D
8,ิมC02632D
8,ิมC02780D
8,ิมC08677D
8,ิมC08619D
8,ิมC02708D
8,ิมC06989D
8,ิมC00631D
9,ิมC02776D
9,ิมC02767D
9,ิมC02701D
9,ิมC07681D
9,ิมC07026D
9,ิมC23589
9,ิมC07653D
9,ิมC07652D
9,ิมC02696D
9,ิมC02672D
9,ิมC01207D
9,ิมC01205D
9,ิมC05615D
10,ิมC01707D
10,ิมC00923D
10,ิมC00586D
10,ิมC07528D
10,ิมC07027D
10,ิมC07017D
10,ิมC06620D
10,ิมC05665D
10,ิมC03302D
10,ิมC02626D
10,ิมC03338D
10,ิมC00950D
10,ิมC07808D
10,ิมC02633D
10,ิมC06913D
10,ิมC08679D
10,ิมC08050D
10,ิมC07575D
11,ิมC03838D
11,ิมC00909D
11,ิมC06775D
11,ิมC07501D
11,ิมC06113D
11,ิมC06606D
11,ิมC06601D
11,ิมC02755D
11,ิมC00236D
12,ิมC03368D
12,ิมC02609D
12,ิมC05668D
12,ิมC02792D
12,ิมC00618D
12,ิมC03200D
12,ิมC07658D
12,ิมC07573D
12,ิมC03396D
12,ิมC02650D
12,ิมC00276D
12,ิมC01217D
12,ิมC05608D
12,ิมC01285D
12,ิมC06731D
13,ิมC07086D
13,ิมC06959D
13,ิมC05693D
13,ิมC05673D
