name,count
南屏街口,37
南屏中学,31
珠光汽车公司,31
九洲城,30
南泉路口,30
拱北,29
广生,29
华发新城,29
翠微,28
井岸大厦,28
公交柏宁,27
河排,27
南屏水库,27
明珠北,26
湾仔沙,26
新香洲万家,26
百货公司,25
北山、华发商都,25
红山、仁恒星园,25
安居园,24
公交招呼站,24
邮政大厦,24
翠景工业区,23
二中,23
湖心路口,23
明珠中,23
灯笼路口,22
公交信禾物流,22
南村,22
竹苑,22
翠湾,21
凤凰北,21
均昌、奔图科技,21
兰埔、富华里,21
龙珠花园,21
南坑,21
上冲,21
香洲区府,21
银城酒店,21
广昌,20
吉大,20
井岸,20
香洲,20
中电大厦,20
珠海大桥东,20
白石、银石雅园,19
拱北口岸总站,19
供水总公司,19
合罗山,19
华子石东,19
尖峰花园,19
凉粉桥,19
柠溪,19
农业银行,19
香宁花园,19
中兴南,19
海滨公园,18
香洲总站,18
新村,18
中大五院,18
白莲洞公园,17
白藤二路口,17
城轨明珠站,17
斗门行政中心,17
鳄鱼岛,17
公积金中心,17
尖峰,17
尖峰山,17
时代香海彼岸,17
隧道南,17
新鸿酒店,17
长沙圩,17
白石南、银石雅园南,16
九洲港,16
北澳市场,15
斗门一中,15
公交花园,15
拱北工商分局,15
华侨宾馆,15
金台寺路口,15
九洲花园,15
南屏大桥,15
人力资源中心,15
水拥坑海天公园,15
银桦新村,15
粤华西,15
白藤湖,14
城轨珠海站,14
德昌盛景,14
东澳村,14
东方威尼斯,14
工业大道北,14
工业大道中,14
化工专区,14
吉大总站,14
江南岸,14
金鼎市场,14
林场,14
明珠商业广场,14
南旺小区,14
南香里,14
契爷岭,14
前山,14
石门坑,14
铁炉,14
万威美地、五洲家园,14
西江月花园,14
下金龙路口,14
造贝,14
招商花园城,14
中臣花园,14
滨海楼,13
第二人民医院,13
东兴,13
福石,13
高新区人民医院,13
鸿景花园临时站,13
金桦花园,13
排山,13
艺术学院,13
北澳,12
翠香中,12
恒利工业园,12
黄杨大道东,12
金龙新村,12
摩尔广场,12
南山,12
南水市场,12
南水消防队,12
上金龙,12
唐家,12
唐家市场,12
体育中心南,12
西湾,12
西湾东,12
西湾小学,12
祥环新村,12
中山大学,12
洲仔,12
翠微市场,11
电厂路口,11
东风南、遵医五院,11
拱北口岸,11
海虹总站,11
瀚林苑,11
恒隆学校,11
华子石西,11
里维埃拉北,11
梅华东,11
美凌达,11
南门,11
平沙路口（普乐美）,11
情侣南路北,11
人民医院,11
桃园新村,11
湾仔旅游码头,11
湾仔中学,11
新青科技园,11
新青五路,11
漾湖明居,11
御温泉,11
竹仙洞,11
作品壹号,11
安骅汽车,10
白藤头,10
斗门财所,10
斗门市民公园,10
杭萧钢构,10
和平市场,10
恒雅名园,10
湖心路口总站,10
鸡山,10
尖峰山公园,10
界涌,10
界涌工业区,10
里维埃拉南,10
沥溪,10
沥溪北,10
沥溪南,10
梅华中,10
美丽湾,10
南方软件园,10
南溪,10
农信大厦,10
平沙邮局,10
坦洲路口,10
香山驿站,10
艺术高中,10
银都,10
粤海东,10
紫荆园,10
八甲,9
白埔路口,9
北堤,9
北山工业区,9
城轨前山站,9
大环,9
大桥口岸枢纽,9
斗门供电局,9
斗门交通局,9
凤凰湾,9
高栏港大厦,9
官塘,9
规划二路口,9
国际会展中心,9
海怡湾畔,9
汉坑村口,9
宏海湾花园,9
惠威科技、小林东成路口,9
鸡山南,9
金山市场,9
金湾市场,9
井岸镇府,9
井湾路北,9
井湾路中,9
骏德电业,9
蓝盾路口,9
荔山,9
名街花园,9
坭湾市场,9
平沙法庭,9
侨立中医院,9
燃气集团,9
省科干学院,9
田边,9
西海岸花园,9
夏湾,9
银坑,9
银坑村,9
银星花园,9
珠海保税区,9
宝莱特科技,8
草蓢,8
超毅电子厂,8
大海环,8
大海环二队,8
大镜山,8
得米公司,8
高级技校,8
海荣新村,8
胡湾里,8
华丰,8
暨南大学,8
警察学校,8
葵竹苑,8
荔山东,8
荔山砖厂,8
南屏,8
南翔路口,8
平沙工会,8
平沙机械厂,8
平沙水厂,8
平沙医院,8
乾务消防队,8
榕益,8
山水恒源,8
山水花城,8
上冲总站,8
四中,8
台创园北、立新六队,8
台创园南、连湾四队,8
太平湾,8
田家炳中学,8
通信大厦,8
卫东,8
新青二路口,8
新市花园,8
兴发公司,8
云顶澜山,8
中医院,8
珠海电台,8
八八八街,7
白蕉科技园,7
白沙、魅族,7
白石路口,7
保利香槟,7
北大希望之星,7
北水路口,7
大濠冲路口,7
党校,7
斗门妇幼保健院,7
二号闸,7
氟特科技,7
港湾一号,7
国际赛车场经济港,7
海纳石鸣苑,7
鹤洲东,7
横琴大桥南,7
横琴金融基地,7
横琴口岸,7
红灯,7
鸡啼桥东,7
建业一路,7
江龙船舶,7
杰腾造船,7
金城路口,7
金湾高尔夫,7
景峰广场,7
丽湖名居,7
连湾,7
连兴二路,7
联港工业区,7
龙山工业区,7
明珠山庄,7
南方IT学院,7
南排,7
南屏科技园,7
南山村口,7
南水,7
南顺路口,7
宁海世纪城,7
平沙路口西,7
乾务牌坊,7
青湾,7
全球通大厦,7
沙龙新村,7
神前总站,7
时代山湖海,7
世邦广场,7
水湾头,7
太阳鸟游艇,7
伟创力,7
卫东五队,7
五山沙龙,7
西湖城区,7
下栅,7
心和制衣厂,7
星宇,7
洋环,7
一六八医院,7
艺匠家居,7
银鑫花园,7
渔村,7
园区服务中心,7
招商花园城南,7
珍珠乐园,7
中阳革业,7
竹坑,7
白蕉长途站南,6
白莲新村,6
保健院西门,6
超群电子,6
城建总公司,6
翠前小学,6
叠石,6
东澳西,6
东风北,6
斗门镇,6
斗门镇卫生院,6
斗门装饰建材,6
富康花园,6
公交临时站,6
公交新村,6
光明街,6
国土资源局,6
海滨南,6
行政服务中心,6
红山北,6
虹桥四路口,6
华发国际花园,6
华发世纪城,6
华发新城总站,6
黄绿背,6
鸡嘴路口,6
暨大北门,6
嘉豪园,6
尖峰桥东,6
交行大厦,6
金都大厦,6
金海岸市场东,6
金海岸中学,6
金沙湾豪庭,6
兰埔东,6
利通制衣,6
荔山村口,6
莲塘,6
南湾南路南,6
南油大酒店,6
攀云购物公园,6
平沙,6
屏北二路西,6
屏北二路中,6
前河东路南,6
乾东村口,6
乾务饼厂,6
乾务街口,6
乾务敬老院,6
乾务糖厂,6
乾务卫生院,6
乾务中心小学,6
情侣南路南,6
日华花园,6
上冲检查站,6
石竹苑,6
水湾北,6
唐人街,6
旺角百货,6
威景制衣厂,6
五山中心小学,6
武警支队,6
西埔村口,6
西埔明珠广场,6
西埔市场,6
夏美,6
夏湾路口,6
斜尾,6
心岸春天花园,6
新青科技园北,6
新青六路口,6
新堂,6
新堂市场,6
新堂制衣厂,6
信海大厦,6
兴业公司,6
沿海高速路口,6
鱼弄,6
圆明山庄,6
圆明新园,6
月堂,6
中纺城,6
中南修理厂,6
中山亭,6
珠海大桥西,6
珠海港,6
珠海一中,6
卓雅花园,6
遵义医学院,6
澳大横琴校区,5
白蕉开发区,5
白蕉总站,5
北理工,5
北师大,5
北水,5
北水旧村,5
北水小学,5
城市阳台,5
创业路口,5
粗沙环,5
大洋山,5
电视台北门,5
东围北,5
度假村,5
港昌南,5
公安村,5
古元美术馆,5
桂花中,5
